id,label,Var3
6897,activated_stellate,activated_stellate
4408,activated_stellate,activated_stellate
5949,activated_stellate,activated_stellate
4314,activated_stellate,activated_stellate
4974,activated_stellate,activated_stellate
5098,activated_stellate,activated_stellate
5208,activated_stellate,activated_stellate
4343,activated_stellate,activated_stellate
4257,activated_stellate,activated_stellate
7219,activated_stellate,activated_stellate
1103,activated_stellate,activated_stellate
5315,activated_stellate,activated_stellate
6239,activated_stellate,activated_stellate
5239,activated_stellate,activated_stellate
5725,endothelial,activated_stellate
4026,activated_stellate,activated_stellate
3937,activated_stellate,activated_stellate
5179,activated_stellate,activated_stellate
4185,activated_stellate,activated_stellate
2408,activated_stellate,activated_stellate
8303,activated_stellate,activated_stellate
2882,activated_stellate,activated_stellate
2925,activated_stellate,activated_stellate
3251,activated_stellate,activated_stellate
2171,activated_stellate,activated_stellate
3279,activated_stellate,activated_stellate
7759,activated_stellate,activated_stellate
5987,activated_stellate,activated_stellate
6816,activated_stellate,activated_stellate
6970,endothelial,activated_stellate
6135,activated_stellate,activated_stellate
4058,activated_stellate,activated_stellate
6919,activated_stellate,activated_stellate
5951,activated_stellate,activated_stellate
7737,activated_stellate,activated_stellate
8310,activated_stellate,activated_stellate
2944,activated_stellate,activated_stellate
1043,activated_stellate,activated_stellate
988,activated_stellate,activated_stellate
3064,activated_stellate,activated_stellate
8337,activated_stellate,activated_stellate
2996,activated_stellate,activated_stellate
2897,activated_stellate,activated_stellate
3347,quiescent_stellate,activated_stellate
3453,activated_stellate,activated_stellate
2641,activated_stellate,activated_stellate
2739,quiescent_stellate,activated_stellate
2381,activated_stellate,activated_stellate
3450,activated_stellate,activated_stellate
8458,activated_stellate,activated_stellate
2819,activated_stellate,activated_stellate
3213,activated_stellate,activated_stellate
2871,activated_stellate,activated_stellate
8468,activated_stellate,activated_stellate
3584,activated_stellate,activated_stellate
3055,activated_stellate,activated_stellate
3641,activated_stellate,activated_stellate
2958,quiescent_stellate,activated_stellate
2460,activated_stellate,activated_stellate
5151,activated_stellate,activated_stellate
1920,quiescent_stellate,activated_stellate
7042,activated_stellate,activated_stellate
1155,activated_stellate,activated_stellate
1884,activated_stellate,activated_stellate
6263,quiescent_stellate,activated_stellate
6327,quiescent_stellate,activated_stellate
8554,activated_stellate,activated_stellate
452,quiescent_stellate,activated_stellate
5318,activated_stellate,activated_stellate
5255,activated_stellate,activated_stellate
6167,activated_stellate,activated_stellate
3524,quiescent_stellate,activated_stellate
5209,activated_stellate,activated_stellate
7815,activated_stellate,activated_stellate
399,activated_stellate,activated_stellate
2315,quiescent_stellate,activated_stellate
3525,quiescent_stellate,activated_stellate
3594,quiescent_stellate,activated_stellate
3049,activated_stellate,activated_stellate
8565,activated_stellate,activated_stellate
2717,activated_stellate,activated_stellate
3375,activated_stellate,activated_stellate
1510,activated_stellate,activated_stellate
786,activated_stellate,activated_stellate
219,activated_stellate,activated_stellate
2972,activated_stellate,activated_stellate
2878,quiescent_stellate,activated_stellate
2854,quiescent_stellate,activated_stellate
2444,quiescent_stellate,activated_stellate
3067,activated_stellate,activated_stellate
5352,activated_stellate,activated_stellate
7250,schwann,activated_stellate
4545,endothelial,activated_stellate
7814,activated_stellate,activated_stellate
3596,activated_stellate,activated_stellate
8264,activated_stellate,activated_stellate
2418,activated_stellate,activated_stellate
2287,activated_stellate,activated_stellate
2224,activated_stellate,activated_stellate
3326,quiescent_stellate,activated_stellate
2432,activated_stellate,activated_stellate
5875,activated_stellate,activated_stellate
432,quiescent_stellate,activated_stellate
942,activated_stellate,activated_stellate
4330,activated_stellate,activated_stellate
7015,activated_stellate,activated_stellate
5218,activated_stellate,activated_stellate
4160,activated_stellate,activated_stellate
8155,activated_stellate,activated_stellate
450,activated_stellate,activated_stellate
7716,quiescent_stellate,activated_stellate
877,activated_stellate,activated_stellate
6029,endothelial,activated_stellate
1058,endothelial,activated_stellate
6847,macrophage,activated_stellate
892,activated_stellate,activated_stellate
4902,activated_stellate,activated_stellate
4022,activated_stellate,activated_stellate
6115,activated_stellate,activated_stellate
5163,quiescent_stellate,activated_stellate
6710,activated_stellate,activated_stellate
4313,quiescent_stellate,activated_stellate
6943,activated_stellate,activated_stellate
1817,beta,activated_stellate
4797,activated_stellate,activated_stellate
6822,activated_stellate,activated_stellate
1037,activated_stellate,activated_stellate
7523,ductal,activated_stellate
237,activated_stellate,activated_stellate
7272,ductal,activated_stellate
3642,mast,activated_stellate
1115,quiescent_stellate,activated_stellate
993,endothelial,activated_stellate
3652,alpha,quiescent_stellate
1110,acinar,quiescent_stellate
1894,quiescent_stellate,quiescent_stellate
1030,quiescent_stellate,quiescent_stellate
358,schwann,quiescent_stellate
525,beta,quiescent_stellate
1184,acinar,quiescent_stellate
444,acinar,quiescent_stellate
4514,endothelial,quiescent_stellate
4503,quiescent_stellate,quiescent_stellate
5226,quiescent_stellate,quiescent_stellate
4361,quiescent_stellate,quiescent_stellate
4448,quiescent_stellate,quiescent_stellate
803,alpha,quiescent_stellate
5287,activated_stellate,quiescent_stellate
6123,beta,quiescent_stellate
1016,quiescent_stellate,quiescent_stellate
485,quiescent_stellate,quiescent_stellate
1882,activated_stellate,quiescent_stellate
1888,activated_stellate,quiescent_stellate
495,quiescent_stellate,quiescent_stellate
383,endothelial,quiescent_stellate
1775,ductal,quiescent_stellate
1646,endothelial,quiescent_stellate
250,endothelial,quiescent_stellate
1741,endothelial,quiescent_stellate
940,endothelial,quiescent_stellate
1720,endothelial,quiescent_stellate
7751,endothelial,quiescent_stellate
4323,endothelial,quiescent_stellate
822,endothelial,quiescent_stellate
986,endothelial,quiescent_stellate
2181,endothelial,quiescent_stellate
2271,endothelial,quiescent_stellate
3304,endothelial,quiescent_stellate
2843,endothelial,quiescent_stellate
7701,alpha,quiescent_stellate
7104,quiescent_stellate,quiescent_stellate
1033,ductal,quiescent_stellate
7074,ductal,quiescent_stellate
4488,ductal,quiescent_stellate
412,ductal,quiescent_stellate
1112,schwann,quiescent_stellate
2405,schwann,quiescent_stellate
3012,schwann,quiescent_stellate
1834,quiescent_stellate,quiescent_stellate
1523,quiescent_stellate,quiescent_stellate
1078,quiescent_stellate,quiescent_stellate
4421,endothelial,quiescent_stellate
4347,quiescent_stellate,quiescent_stellate
6939,endothelial,quiescent_stellate
6760,endothelial,quiescent_stellate
5871,endothelial,quiescent_stellate
1064,quiescent_stellate,quiescent_stellate
360,quiescent_stellate,quiescent_stellate
6348,activated_stellate,quiescent_stellate
6857,quiescent_stellate,quiescent_stellate
1755,quiescent_stellate,quiescent_stellate
4371,activated_stellate,quiescent_stellate
4422,activated_stellate,quiescent_stellate
398,quiescent_stellate,quiescent_stellate
4358,endothelial,quiescent_stellate
4181,endothelial,quiescent_stellate
8365,endothelial,quiescent_stellate
1807,ductal,quiescent_stellate
1628,endothelial,quiescent_stellate
289,endothelial,quiescent_stellate
430,endothelial,quiescent_stellate
1708,endothelial,quiescent_stellate
7820,ductal,quiescent_stellate
5353,alpha,quiescent_stellate
4524,endothelial,quiescent_stellate
1822,endothelial,quiescent_stellate
1040,endothelial,quiescent_stellate
361,endothelial,quiescent_stellate
1087,quiescent_stellate,quiescent_stellate
541,quiescent_stellate,quiescent_stellate
7821,beta,quiescent_stellate
976,quiescent_stellate,quiescent_stellate
459,quiescent_stellate,quiescent_stellate
6289,quiescent_stellate,quiescent_stellate
1745,quiescent_stellate,quiescent_stellate
6014,quiescent_stellate,quiescent_stellate
7772,activated_stellate,quiescent_stellate
350,quiescent_stellate,quiescent_stellate
1694,quiescent_stellate,quiescent_stellate
1835,quiescent_stellate,quiescent_stellate
1837,quiescent_stellate,quiescent_stellate
1829,quiescent_stellate,quiescent_stellate
1854,quiescent_stellate,quiescent_stellate
1131,activated_stellate,quiescent_stellate
1135,quiescent_stellate,quiescent_stellate
985,quiescent_stellate,quiescent_stellate
1764,quiescent_stellate,quiescent_stellate
1801,endothelial,quiescent_stellate
302,endothelial,quiescent_stellate
1700,quiescent_stellate,quiescent_stellate
407,quiescent_stellate,quiescent_stellate
1651,quiescent_stellate,quiescent_stellate
914,quiescent_stellate,quiescent_stellate
1788,quiescent_stellate,quiescent_stellate
325,quiescent_stellate,quiescent_stellate
1154,quiescent_stellate,quiescent_stellate
455,quiescent_stellate,quiescent_stellate
1130,quiescent_stellate,quiescent_stellate
1828,quiescent_stellate,quiescent_stellate
1779,quiescent_stellate,quiescent_stellate
8472,endothelial,quiescent_stellate
404,quiescent_stellate,quiescent_stellate
1853,quiescent_stellate,quiescent_stellate
2867,endothelial,quiescent_stellate
7060,ductal,quiescent_stellate
4291,ductal,quiescent_stellate
6235,mast,quiescent_stellate
7169,ductal,quiescent_stellate
2830,beta,quiescent_stellate
1681,quiescent_stellate,quiescent_stellate
1810,macrophage,quiescent_stellate
6941,macrophage,quiescent_stellate
3658,macrophage,quiescent_stellate
948,macrophage,quiescent_stellate
553,macrophage,quiescent_stellate
2890,macrophage,quiescent_stellate
2844,macrophage,quiescent_stellate
2730,macrophage,quiescent_stellate
717,macrophage,quiescent_stellate
8442,macrophage,quiescent_stellate
6186,macrophage,quiescent_stellate
5757,macrophage,quiescent_stellate
871,macrophage,quiescent_stellate
5846,macrophage,quiescent_stellate
4150,macrophage,quiescent_stellate
1743,macrophage,quiescent_stellate
4217,macrophage,quiescent_stellate
7845,macrophage,quiescent_stellate
417,macrophage,quiescent_stellate
6341,macrophage,quiescent_stellate
5295,macrophage,quiescent_stellate
5363,macrophage,quiescent_stellate
6288,macrophage,quiescent_stellate
911,macrophage,quiescent_stellate
1067,macrophage,quiescent_stellate
496,quiescent_stellate,quiescent_stellate
536,quiescent_stellate,quiescent_stellate
1143,quiescent_stellate,quiescent_stellate
1771,quiescent_stellate,quiescent_stellate
1731,quiescent_stellate,quiescent_stellate
2347,schwann,quiescent_stellate
1786,endothelial,quiescent_stellate
464,endothelial,quiescent_stellate
1107,endothelial,quiescent_stellate
1055,endothelial,quiescent_stellate
1787,endothelial,quiescent_stellate
1772,endothelial,quiescent_stellate
384,endothelial,quiescent_stellate
6903,activated_stellate,quiescent_stellate
5274,activated_stellate,quiescent_stellate
6744,endothelial,quiescent_stellate
4300,activated_stellate,quiescent_stellate
3039,quiescent_stellate,quiescent_stellate
1061,quiescent_stellate,quiescent_stellate
6958,activated_stellate,quiescent_stellate
269,quiescent_stellate,quiescent_stellate
4410,quiescent_stellate,quiescent_stellate
5102,endothelial,quiescent_stellate
7691,endothelial,quiescent_stellate
4931,endothelial,quiescent_stellate
3445,endothelial,quiescent_stellate
8475,ductal,quiescent_stellate
5052,quiescent_stellate,quiescent_stellate
7195,quiescent_stellate,quiescent_stellate
4445,quiescent_stellate,quiescent_stellate
6292,ductal,quiescent_stellate
4385,ductal,quiescent_stellate
5916,acinar,quiescent_stellate
1890,quiescent_stellate,quiescent_stellate
3173,macrophage,quiescent_stellate
4502,ductal,quiescent_stellate
8492,beta,quiescent_stellate
8519,beta,quiescent_stellate
4782,ductal,quiescent_stellate
2134,endothelial,quiescent_stellate
4832,ductal,quiescent_stellate
4329,alpha,quiescent_stellate
1096,quiescent_stellate,quiescent_stellate
2486,quiescent_stellate,quiescent_stellate
855,macrophage,quiescent_stellate
7059,delta,quiescent_stellate
5005,alpha,endothelial
1180,activated_stellate,endothelial
5405,activated_stellate,endothelial
1163,quiescent_stellate,endothelial
1161,quiescent_stellate,endothelial
500,activated_stellate,endothelial
7860,activated_stellate,endothelial
3660,activated_stellate,endothelial
1169,quiescent_stellate,endothelial
3061,quiescent_stellate,endothelial
1046,ductal,endothelial
4549,beta,endothelial
6300,alpha,endothelial
1197,quiescent_stellate,endothelial
1178,endothelial,endothelial
1196,alpha,endothelial
1164,endothelial,endothelial
1158,endothelial,endothelial
1186,endothelial,endothelial
1098,endothelial,endothelial
1187,endothelial,endothelial
1889,epsilon,endothelial
1908,endothelial,endothelial
1707,endothelial,endothelial
3474,ductal,endothelial
2934,ductal,endothelial
7053,ductal,endothelial
2457,ductal,endothelial
437,ductal,endothelial
7062,ductal,endothelial
5413,ductal,endothelial
4512,ductal,endothelial
6350,alpha,endothelial
1838,schwann,endothelial
7866,ductal,endothelial
1019,schwann,endothelial
3657,activated_stellate,endothelial
510,activated_stellate,endothelial
1085,endothelial,endothelial
1808,quiescent_stellate,endothelial
3058,quiescent_stellate,endothelial
1185,quiescent_stellate,endothelial
1923,quiescent_stellate,endothelial
1162,quiescent_stellate,endothelial
7844,quiescent_stellate,endothelial
8551,quiescent_stellate,endothelial
7186,quiescent_stellate,endothelial
7231,quiescent_stellate,endothelial
2437,quiescent_stellate,endothelial
7199,activated_stellate,endothelial
6323,quiescent_stellate,endothelial
5431,activated_stellate,endothelial
6353,quiescent_stellate,endothelial
7259,quiescent_stellate,endothelial
7095,quiescent_stellate,endothelial
7213,quiescent_stellate,endothelial
5391,quiescent_stellate,endothelial
1193,quiescent_stellate,endothelial
443,ductal,endothelial
2454,ductal,endothelial
6809,ductal,endothelial
7005,ductal,endothelial
3092,ductal,endothelial
7822,ductal,endothelial
2318,ductal,endothelial
3659,ductal,endothelial
6291,ductal,endothelial
6355,endothelial,endothelial
2858,ductal,endothelial
3619,endothelial,endothelial
4552,endothelial,endothelial
5373,alpha,endothelial
6335,delta,endothelial
6346,endothelial,endothelial
4557,endothelial,endothelial
5390,quiescent_stellate,endothelial
5404,endothelial,endothelial
7211,endothelial,endothelial
6337,endothelial,endothelial
6274,endothelial,endothelial
7072,endothelial,endothelial
1118,endothelial,endothelial
1146,endothelial,endothelial
515,endothelial,endothelial
509,endothelial,endothelial
1933,endothelial,endothelial
526,endothelial,endothelial
520,endothelial,endothelial
1179,endothelial,endothelial
5416,endothelial,endothelial
7254,endothelial,endothelial
4435,endothelial,endothelial
6315,endothelial,endothelial
4395,endothelial,endothelial
6249,endothelial,endothelial
5377,endothelial,endothelial
1134,endothelial,endothelial
6358,endothelial,endothelial
6980,endothelial,endothelial
7120,endothelial,endothelial
4516,endothelial,endothelial
4492,endothelial,endothelial
6268,endothelial,endothelial
7185,endothelial,endothelial
7214,endothelial,endothelial
3605,endothelial,endothelial
6352,endothelial,endothelial
4485,endothelial,endothelial
530,endothelial,endothelial
5427,endothelial,endothelial
7861,ductal,endothelial
7865,ductal,endothelial
7851,ductal,endothelial
7762,ductal,endothelial
3070,ductal,endothelial
1069,ductal,endothelial
2492,ductal,endothelial
492,alpha,endothelial
502,alpha,endothelial
2766,alpha,endothelial
1905,alpha,endothelial
4476,delta,endothelial
7848,beta,endothelial
2909,beta,endothelial
5807,delta,endothelial
7864,beta,endothelial
8494,beta,endothelial
2496,beta,endothelial
6366,endothelial,endothelial
1068,gamma,endothelial
550,beta,endothelial
545,endothelial,endothelial
1878,endothelial,endothelial
1873,endothelial,endothelial
1824,endothelial,endothelial
4401,endothelial,endothelial
3172,macrophage,endothelial
8467,delta,endothelial
1195,quiescent_stellate,endothelial
2481,macrophage,endothelial
1895,quiescent_stellate,endothelial
1937,quiescent_stellate,endothelial
6103,beta,endothelial
1168,quiescent_stellate,endothelial
1891,endothelial,endothelial
1911,quiescent_stellate,endothelial
1872,quiescent_stellate,endothelial
3074,schwann,endothelial
1160,quiescent_stellate,endothelial
1925,quiescent_stellate,endothelial
7226,activated_stellate,endothelial
1166,quiescent_stellate,endothelial
559,quiescent_stellate,endothelial
4386,endothelial,endothelial
5354,quiescent_stellate,endothelial
513,quiescent_stellate,endothelial
507,quiescent_stellate,endothelial
489,quiescent_stellate,endothelial
1832,quiescent_stellate,endothelial
1138,endothelial,endothelial
1868,endothelial,endothelial
5375,endothelial,endothelial
1877,quiescent_stellate,endothelial
1924,quiescent_stellate,endothelial
6295,quiescent_stellate,endothelial
5270,quiescent_stellate,endothelial
7108,quiescent_stellate,endothelial
1005,quiescent_stellate,endothelial
7261,ductal,endothelial
3079,schwann,endothelial
4556,ductal,endothelial
561,endothelial,endothelial
1188,endothelial,endothelial
8530,mast,endothelial
3621,mast,endothelial
1120,mast,endothelial
5399,alpha,endothelial
6114,gamma,endothelial
5406,alpha,endothelial
7066,alpha,endothelial
5412,alpha,endothelial
4266,endothelial,endothelial
5415,endothelial,endothelial
4463,quiescent_stellate,endothelial
8538,schwann,endothelial
503,delta,endothelial
3539,delta,endothelial
1918,t_cell,endothelial
7239,delta,endothelial
5782,beta,endothelial
4508,delta,endothelial
1859,quiescent_stellate,endothelial
534,endothelial,endothelial
1907,endothelial,endothelial
538,endothelial,endothelial
564,endothelial,endothelial
1088,endothelial,endothelial
554,endothelial,endothelial
3636,ductal,endothelial
1136,endothelial,endothelial
562,endothelial,endothelial
1909,mast,endothelial
552,endothelial,endothelial
6322,endothelial,endothelial
4558,endothelial,endothelial
5361,endothelial,endothelial
7243,endothelial,endothelial
532,endothelial,endothelial
1935,endothelial,endothelial
1175,endothelial,endothelial
498,endothelial,endothelial
5428,endothelial,endothelial
5273,ductal,endothelial
544,ductal,endothelial
1887,mast,endothelial
527,mast,endothelial
1917,endothelial,endothelial
7253,macrophage,endothelial
6293,endothelial,endothelial
4447,endothelial,endothelial
5414,endothelial,endothelial
7176,beta,endothelial
1194,endothelial,endothelial
355,endothelial,endothelial
548,endothelial,endothelial
1870,endothelial,endothelial
1137,endothelial,endothelial
537,endothelial,endothelial
457,endothelial,endothelial
1139,endothelial,endothelial
7209,endothelial,endothelial
6364,endothelial,endothelial
6356,endothelial,endothelial
2472,ductal,endothelial
2490,ductal,endothelial
2587,beta,endothelial
543,alpha,endothelial
1181,alpha,endothelial
3096,alpha,endothelial
1159,alpha,endothelial
2465,alpha,endothelial
3623,gamma,endothelial
3612,gamma,endothelial
7836,gamma,endothelial
8511,gamma,endothelial
5346,gamma,endothelial
8485,gamma,endothelial
3335,gamma,endothelial
8175,beta,endothelial
5167,delta,endothelial
7656,beta,endothelial
4333,ductal,endothelial
2666,alpha,endothelial
6054,epsilon,endothelial
7858,ductal,endothelial
3601,ductal,endothelial
4551,quiescent_stellate,endothelial
1861,endothelial,endothelial
4400,endothelial,endothelial
558,endothelial,endothelial
428,mast,endothelial
6885,acinar,endothelial
8527,gamma,ductal
461,acinar,ductal
5397,acinar,ductal
6320,acinar,ductal
3095,ductal,ductal
6982,acinar,ductal
1123,quiescent_stellate,ductal
4546,quiescent_stellate,ductal
4414,activated_stellate,ductal
1799,endothelial,ductal
423,endothelial,ductal
499,endothelial,ductal
1818,endothelial,ductal
1020,endothelial,ductal
3513,endothelial,ductal
2885,endothelial,ductal
3032,ductal,ductal
2974,endothelial,ductal
380,endothelial,ductal
2716,ductal,ductal
3174,ductal,ductal
3428,ductal,ductal
5382,ductal,ductal
6180,ductal,ductal
5312,ductal,ductal
5383,ductal,ductal
567,ductal,ductal
7091,ductal,ductal
1858,ductal,ductal
1847,ductal,ductal
2495,ductal,ductal
4420,alpha,ductal
7130,alpha,ductal
8417,ductal,ductal
2487,ductal,ductal
4475,ductal,ductal
4143,delta,ductal
4519,ductal,ductal
7162,quiescent_stellate,ductal
1105,ductal,ductal
6354,ductal,ductal
5396,ductal,ductal
8470,ductal,ductal
3514,ductal,ductal
5419,quiescent_stellate,ductal
4509,quiescent_stellate,ductal
7830,ductal,ductal
1059,endothelial,ductal
1812,endothelial,ductal
4294,endothelial,ductal
4518,ductal,ductal
7192,ductal,ductal
6275,ductal,ductal
5228,ductal,ductal
6331,endothelial,ductal
5401,quiescent_stellate,ductal
5381,quiescent_stellate,ductal
6328,acinar,ductal
7260,acinar,ductal
4426,ductal,ductal
5194,acinar,ductal
7034,acinar,ductal
8532,ductal,ductal
7856,ductal,ductal
3570,ductal,ductal
2283,ductal,ductal
3586,ductal,ductal
2526,ductal,ductal
8545,ductal,ductal
3574,ductal,ductal
8569,ductal,ductal
4952,ductal,ductal
6181,ductal,ductal
2462,mast,ductal
6329,t_cell,ductal
3000,mast,ductal
5231,mast,ductal
5394,delta,ductal
5371,mast,ductal
6891,ductal,ductal
7825,ductal,ductal
3583,ductal,ductal
374,ductal,ductal
1093,ductal,ductal
774,ductal,ductal
2473,ductal,ductal
7240,ductal,ductal
557,ductal,ductal
2484,ductal,ductal
3625,ductal,ductal
1645,ductal,ductal
8547,ductal,ductal
8518,ductal,ductal
3645,ductal,ductal
4496,ductal,ductal
5296,ductal,ductal
2285,ductal,ductal
2470,ductal,ductal
2075,ductal,ductal
1073,endothelial,ductal
1029,endothelial,ductal
411,endothelial,ductal
565,endothelial,ductal
5324,endothelial,ductal
2422,endothelial,ductal
2375,ductal,ductal
5433,alpha,ductal
7779,beta,ductal
8117,beta,ductal
8282,beta,ductal
3160,ductal,ductal
7210,ductal,ductal
4532,ductal,ductal
7135,ductal,ductal
7142,ductal,ductal
8524,ductal,ductal
8540,ductal,ductal
7084,ductal,ductal
7065,ductal,ductal
6220,ductal,ductal
7086,ductal,ductal
