id,label
5296,ductal
2285,ductal
2470,ductal
2075,ductal
1073,endothelial
1029,endothelial
411,endothelial
565,endothelial
5324,endothelial
2422,endothelial
2375,ductal
5433,alpha
7779,beta
8117,beta
8282,beta
3160,ductal
7210,ductal
4532,ductal
7135,ductal
7142,ductal
8524,ductal
8540,ductal
7084,ductal
7065,ductal
6220,ductal
7086,ductal
4367,ductal
1100,ductal
7204,ductal
1800,ductal
1901,t_cell
445,endothelial
6192,activated_stellate
1846,endothelial
1148,quiescent_stellate
1815,endothelial
456,endothelial
1152,endothelial
408,endothelial
422,endothelial
7834,t_cell
419,endothelial
463,endothelial
418,ductal
1044,endothelial
992,endothelial
420,endothelial
1127,endothelial
3026,ductal
3176,ductal
2884,ductal
6316,macrophage
3556,ductal
3517,endothelial
3078,t_cell
2419,endothelial
6240,endothelial
2478,endothelial
1056,endothelial
1145,endothelial
3648,ductal
2427,ductal
6299,t_cell
4415,endothelial
8481,ductal
7838,endothelial
8455,ductal
1034,endothelial
1038,endothelial
7868,ductal
8218,ductal
3606,ductal
3051,ductal
1919,ductal
7862,ductal
1142,ductal
1876,ductal
7255,ductal
7867,ductal
3608,ductal
3094,alpha
4381,endothelial
7093,endothelial
1792,quiescent_stellate
7163,quiescent_stellate
242,quiescent_stellate
7200,acinar
3589,quiescent_stellate
5426,ductal
505,endothelial
6195,ductal
3036,mast
4431,beta
3024,mast
1713,mast
3022,mast
3592,mast
5356,mast
4308,mast
3626,mast
6252,mast
7241,alpha
4491,alpha
6319,alpha
3060,alpha
2491,alpha
3091,alpha
7196,alpha
1190,endothelial
3086,t_cell
6296,endothelial
1766,endothelial
5034,ductal
4212,ductal
2316,beta
8415,beta
8249,beta
6966,beta
2849,endothelial
1730,endothelial
3076,ductal
4505,ductal
3059,ductal
1791,epsilon
2343,activated_stellate
1065,epsilon
1660,epsilon
1881,epsilon
1654,epsilon
323,epsilon
540,endothelial
4454,ductal
6313,quiescent_stellate
1696,endothelial
3406,quiescent_stellate
4987,endothelial
2302,endothelial
3401,endothelial
4097,endothelial
6177,endothelial
3388,endothelial
1749,endothelial
5060,ductal
2959,ductal
2371,ductal
3047,ductal
2123,ductal
4847,ductal
4307,ductal
3265,ductal
3104,ductal
342,ductal
7085,ductal
6976,ductal
5271,ductal
7020,ductal
6053,alpha
1636,ductal
4260,ductal
6126,ductal
6905,ductal
5253,ductal
5256,ductal
5283,ductal
7077,ductal
7037,ductal
4855,ductal
6187,ductal
1101,ductal
7704,ductal
6779,ductal
2218,ductal
2410,ductal
3300,ductal
2264,ductal
2288,ductal
2092,ductal
3240,ductal
2650,acinar
8257,ductal
2703,ductal
3006,ductal
5677,ductal
6793,ductal
2906,ductal
2632,ductal
2857,ductal
2310,ductal
2448,ductal
3266,ductal
3294,ductal
3329,ductal
2387,ductal
2997,ductal
2256,ductal
4363,ductal
7001,alpha
440,ductal
5244,ductal
7810,ductal
998,ductal
1795,ductal
1626,endothelial
2153,endothelial
2125,endothelial
3563,ductal
3602,ductal
477,ductal
3019,ductal
2916,ductal
1062,ductal
4397,ductal
6702,ductal
4240,ductal
7003,acinar
2768,ductal
4296,ductal
4433,ductal
4372,ductal
7124,ductal
5821,ductal
3484,ductal
3544,ductal
3431,ductal
7193,ductal
3334,ductal
2251,ductal
2736,ductal
2773,ductal
2213,ductal
2416,ductal
3536,ductal
3518,ductal
3603,ductal
3437,ductal
2404,ductal
1449,ductal
3541,ductal
750,ductal
7164,ductal
6964,ductal
4331,ductal
5923,ductal
4003,ductal
7118,ductal
5263,ductal
6887,ductal
410,ductal
7718,ductal
8384,ductal
7773,ductal
3546,ductal
1140,ductal
5314,ductal
330,ductal
4297,ductal
2281,ductal
3414,ductal
2200,ductal
3313,ductal
6901,ductal
5973,ductal
6218,ductal
1752,ductal
4149,ductal
4130,ductal
6317,ductal
5310,ductal
6256,ductal
6907,ductal
6751,ductal
6210,ductal
4417,ductal
6931,ductal
6182,ductal
6152,ductal
6778,ductal
4309,ductal
5744,endothelial
5217,endothelial
3576,ductal
4275,ductal
4370,ductal
3207,ductal
898,ductal
319,endothelial
1023,ductal
1009,ductal
7732,ductal
6728,ductal
5248,ductal
6071,ductal
6253,ductal
6176,ductal
7082,ductal
4255,ductal
4218,ductal
6932,ductal
6030,ductal
6087,ductal
5164,ductal
2380,gamma
7615,macrophage
8083,macrophage
5195,ductal
7141,ductal
4295,ductal
999,activated_stellate
5088,endothelial
5880,endothelial
2471,ductal
3467,ductal
3531,ductal
3488,ductal
2576,ductal
449,ductal
6682,ductal
903,ductal
1094,beta
2769,ductal
6266,ductal
1052,ductal
3491,ductal
6884,ductal
4238,ductal
2759,schwann
728,ductal
6199,ductal
1548,endothelial
2861,ductal
2546,ductal
8216,ductal
2246,ductal
2714,ductal
2743,ductal
2696,ductal
2088,ductal
8258,ductal
8127,ductal
7553,ductal
8072,ductal
8150,ductal
8364,ductal
8157,ductal
7981,ductal
7410,ductal
7415,ductal
900,ductal
970,ductal
2514,ductal
8185,ductal
8158,ductal
8068,ductal
3210,ductal
2732,ductal
2623,ductal
3292,ductal
2880,ductal
2606,ductal
8109,ductal
8006,ductal
7626,ductal
7679,ductal
7638,ductal
7569,ductal
2193,ductal
3404,ductal
7539,ductal
2240,ductal
3111,ductal
2333,ductal
2877,ductal
2654,ductal
2571,ductal
2531,ductal
2278,ductal
2127,ductal
8295,endothelial
7627,endothelial
8145,ductal
7734,ductal
8196,ductal
8154,ductal
8404,ductal
8166,ductal
7504,ductal
8296,ductal
8330,ductal
8075,ductal
7505,ductal
2964,ductal
7688,ductal
8289,ductal
7800,ductal
8035,ductal
8159,ductal
8014,ductal
7385,ductal
7403,ductal
1986,ductal
2019,ductal
7705,ductal
7320,ductal
7794,ductal
2701,ductal
3018,ductal
3350,ductal
2194,ductal
2332,ductal
2129,ductal
3411,ductal
3377,ductal
4337,ductal
2360,ductal
2234,ductal
2244,ductal
3452,ductal
2802,ductal
3283,ductal
2169,ductal
2258,ductal
2689,ductal
7526,ductal
7630,ductal
2114,ductal
7551,ductal
7358,ductal
2393,ductal
2260,ductal
2368,ductal
8309,ductal
7806,ductal
8291,ductal
8286,ductal
8095,ductal
8198,ductal
8122,ductal
7665,ductal
8281,ductal
8462,ductal
8265,ductal
8347,ductal
7517,ductal
8088,ductal
7612,ductal
8354,ductal
8424,ductal
8343,ductal
2685,ductal
8120,ductal
8177,ductal
8268,ductal
2683,ductal
2687,ductal
2295,ductal
3113,ductal
7991,ductal
2097,ductal
2776,ductal
3365,ductal
2188,ductal
8151,ductal
3252,ductal
2722,ductal
2299,ductal
2872,ductal
2775,ductal
2011,ductal
3287,ductal
2693,ductal
207,ductal
2363,ductal
3564,ductal
791,activated_stellate
800,endothelial
8034,ductal
8534,ductal
2673,ductal
5062,ductal
5657,ductal
5086,ductal
889,ductal
1524,ductal
8398,ductal
2359,macrophage
5567,activated_stellate
928,macrophage
7964,ductal
8210,ductal
8164,ductal
8205,ductal
8300,ductal
8284,ductal
8435,beta
3630,beta
3423,ductal
7486,ductal
1550,quiescent_stellate
2198,ductal
5688,ductal
3199,ductal
5685,ductal
7447,ductal
2006,ductal
4749,ductal
7414,ductal
8133,ductal
8059,ductal
7645,ductal
825,ductal
3187,ductal
1965,ductal
3967,ductal
2050,ductal
2004,ductal
3823,ductal
4967,ductal
2071,ductal
4701,ductal
6571,ductal
4972,ductal
2317,ductal
957,ductal
3945,ductal
1608,ductal
5979,ductal
217,ductal
6801,ductal
2284,ductal
5815,ductal
5017,ductal
1438,ductal
5775,ductal
6616,ductal
1569,ductal
1402,ductal
1476,ductal
1432,ductal
6633,ductal
5955,ductal
148,ductal
671,ductal
4686,ductal
149,ductal
4680,ductal
1415,ductal
592,ductal
19,ductal
1381,ductal
1308,ductal
7489,ductal
1380,ductal
1312,ductal
64,ductal
1488,ductal
7478,ductal
7310,ductal
7913,ductal
7367,ductal
1315,ductal
1394,ductal
216,ductal
1358,ductal
61,ductal
1270,ductal
1443,ductal
1635,ductal
690,ductal
284,ductal
1554,ductal
780,ductal
2265,ductal
8496,ductal
6419,ductal
3264,ductal
4157,ductal
1622,ductal
819,ductal
887,ductal
7590,ductal
1414,ductal
278,ductal
8207,ductal
2810,ductal
1576,ductal
7537,ductal
1384,beta
7318,ductal
1347,quiescent_stellate
7330,ductal
7382,ductal
7423,ductal
5735,ductal
4626,ductal
5700,ductal
6452,ductal
4811,ductal
4937,ductal
1611,ductal
4957,ductal
1387,alpha
3794,ductal
3258,ductal
1958,ductal
1966,ductal
3726,ductal
613,ductal
1525,ductal
1471,ductal
7285,ductal
7299,ductal
7279,ductal
7271,ductal
5825,ductal
4766,ductal
5704,ductal
4964,ductal
4878,ductal
6810,ductal
6858,ductal
5084,ductal
5894,ductal
6719,ductal
7712,ductal
5732,ductal
4767,ductal
6512,ductal
5663,ductal
4901,ductal
6674,ductal
5850,ductal
4720,ductal
2221,ductal
1642,ductal
7911,ductal
674,ductal
209,ductal
1671,ductal
2020,ductal
696,ductal
7444,ductal
4960,ductal
1955,ductal
3908,ductal
7922,ductal
6517,ductal
3889,ductal
5018,ductal
4881,ductal
3821,ductal
6577,ductal
2035,ductal
8047,ductal
7536,ductal
7997,ductal
7342,ductal
7937,ductal
7713,activated_stellate
7637,activated_stellate
2096,ductal
4820,ductal
8193,ductal
5745,ductal
6541,ductal
6651,ductal
4699,ductal
1253,ductal
8512,activated_stellate
7686,ductal
2879,ductal
4269,ductal
8385,ductal
8427,alpha
5243,acinar
4928,activated_stellate
5762,ductal
4190,ductal
6110,ductal
5721,ductal
5904,ductal
3953,ductal
6634,ductal
4790,ductal
4098,ductal
6726,ductal
5961,ductal
6948,ductal
4873,ductal
3969,ductal
836,ductal
3999,ductal
6678,ductal
5882,ductal
5096,ductal
4839,ductal
3926,ductal
6488,ductal
5760,ductal
4161,ductal
5870,ductal
5767,ductal
4156,ductal
5954,ductal
4404,ductal
4975,ductal
6845,ductal
5251,ductal
4043,ductal
4994,ductal
5157,ductal
6854,ductal
5853,ductal
6981,ductal
4941,ductal
6836,ductal
5085,ductal
4215,ductal
6874,ductal
6856,ductal
4094,ductal
6157,ductal
6791,ductal
4328,ductal
6986,ductal
6629,ductal
4239,ductal
5723,ductal
4232,ductal
3732,endothelial
1468,activated_stellate
5311,ductal
5178,acinar
1820,acinar
4228,ductal
4178,ductal
4223,ductal
4877,ductal
5190,ductal
8510,ductal
6814,ductal
5301,ductal
6699,ductal
5842,ductal
8097,ductal
3393,ductal
3463,ductal
4276,ductal
4141,ductal
8333,ductal
4991,alpha
6627,alpha
1399,beta
5774,ductal
6683,ductal
5991,ductal
3949,ductal
6534,ductal
6684,ductal
5074,ductal
6073,ductal
5768,ductal
5892,ductal
375,ductal
4898,ductal
4320,ductal
6933,ductal
4225,ductal
4380,ductal
7057,ductal
5169,ductal
3966,ductal
5215,ductal
5188,ductal
4176,ductal
6127,ductal
6866,ductal
6880,ductal
6059,ductal
894,ductal
6841,ductal
4949,ductal
5143,ductal
4037,ductal
6770,ductal
4123,ductal
5050,activated_stellate
1614,quiescent_stellate
5997,activated_stellate
5019,activated_stellate
5808,endothelial
7628,ductal
7621,ductal
4956,ductal
4903,ductal
4874,ductal
4391,ductal
5799,ductal
6761,ductal
6638,ductal
3867,ductal
4780,ductal
6545,ductal
4119,ductal
4933,ductal
5755,ductal
6641,ductal
7377,ductal
5929,ductal
6107,ductal
5874,ductal
5835,ductal
6758,ductal
4719,ductal
4201,ductal
6681,ductal
5605,ductal
6548,ductal
5711,ductal
5016,ductal
5840,ductal
5924,ductal
980,ductal
230,ductal
4248,ductal
5887,ductal
6164,ductal
6811,ductal
